kant_CODE,kant_name,keskus_CODE,keskus_name,population,workers,share_to_center,top_pt_dest,n_trips_to_top,total_outbound_trips,n_trips_to_keskus,n_services_to_keskus,median_travel_time_min,avg_travel_time_min,min_travel_time_min,max_travel_time_min,first_departure_hour,last_departure_hour,service_span_hours,avg_frequency_min,am_peak_services,off_peak_services,hours_with_service,cv_hourly,pm_return_services,pm_return_hours_covered,prop_to_keskus,pt_matches_commute,has_pt_service,has_am_service,has_pm_return,return_feasible,is_center
K025,Annikoru,K674,Tartu linn,NA,NA,NA,K237,11,20,10,10,65.5,72.2,52,128,6,21,15,99.2,4,6,6,0.7266360849833982,3,2,0.5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K026,Annikvere,K663,Tallinn,NA,NA,NA,K070,6,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K027,Anseküla,K270,Kuressaare linn,NA,NA,NA,K095,5,6,4,4,39.5,52.5,36,95,7,15,8,170.3,1,3,4,0,2,2,0.6666666666666666,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K030,Aravete,K663,Tallinn,NA,NA,NA,K012,8,17,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K031,Ardu,K663,Tallinn,NA,NA,NA,K663,12,23,12,12,52.5,51.1,35,69,6,20,14,75,3,9,11,0.27638539919628335,5,3,0.5217391304347826,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K032,Are,K531,Pärnu linn,NA,NA,NA,K531,33,61,33,33,17,19.2,14,46,6,22,16,29.7,7,26,16,0.5152109294317602,11,4,0.5409836065573771,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K033,Arkna,K545,Rakvere linn,NA,NA,NA,K545,14,27,14,14,10,10,9,12,6,21,15,67.2,3,11,13,0.25753937681885647,4,4,0.5185185185185185,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K034,Aruküla,K663,Tallinn,NA,NA,NA,K663,24,42,24,24,27,34.1,26,50,5,21,16,41.3,3,21,15,0.4604927485081296,6,4,0.5714285714285714,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K035,Aruvälja,K531,Pärnu linn,NA,NA,NA,K531,11,22,11,11,23,23,21,25,6,18,12,73.7,3,8,9,0.5454545454545455,3,3,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K037,Assamalla,K545,Rakvere linn,NA,NA,NA,K545,13,23,13,13,19,30.2,15,91,7,20,13,68.6,5,8,9,0.5029498781008469,5,3,0.5652173913043478,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K038,Aste,K270,Kuressaare linn,NA,NA,NA,K270,11,14,11,11,15,17.7,15,30,6,21,15,85,3,8,10,0.28747978728803447,3,3,0.7857142857142857,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K039,Asuküla,K061,Haapsalu linn,NA,NA,NA,K061,8,12,8,8,16,17.4,15,21,7,19,12,105.9,2,6,6,0.38729833462074176,2,2,0.6666666666666666,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K040,Atsalama,K118,Jõhvi linn,NA,NA,NA,K225,18,23,13,13,25,28.7,21,51,6,19,13,62.3,2,11,10,0.3715737627228061,4,3,0.5652173913043478,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K041,Audla,K270,Kuressaare linn,NA,NA,NA,K447,9,14,6,6,51,69,40,165,6,18,12,141.4,2,4,6,0,3,2,0.42857142857142855,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K042,Audru,K531,Pärnu linn,NA,NA,NA,K531,70,120,70,70,7,8.8,5,18,5,23,18,15.6,11,59,19,0.4792047456031887,21,4,0.5833333333333334,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K043,Auvere,K422,Narva linn,NA,NA,NA,K422,4,5,4,4,22,22.8,22,25,10,18,8,161.7,0,4,3,0.4330127018922193,1,2,0.8,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
K044,Avinurme,K663,Tallinn,NA,NA,NA,K403,7,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K045,Edise,K118,Jõhvi linn,NA,NA,NA,K225,35,49,33,33,5,6.2,4,22,6,22,16,30.8,5,28,16,0.37425571480919306,8,4,0.673469387755102,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K046,Eidapere-Lokuta,K663,Tallinn,NA,NA,NA,K553,7,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K047,Eikla,K270,Kuressaare linn,NA,NA,NA,K270,9,11,9,9,27,27.8,23,40,7,20,13,98.6,3,6,6,0.3651483716701107,3,3,0.8181818181818182,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K048,Elistvere,K674,Tartu linn,NA,NA,NA,K674,9,14,9,9,51,57.3,26,80,7,22,15,112.4,1,8,8,0.3142696805273545,3,3,0.6428571428571429,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K049,Elva linn,K049,Elva linn,NA,NA,NA,K674,54,84,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
K050,Elva ümbrus,K049,Elva linn,NA,NA,NA,K049,27,47,27,27,10,14.4,7,74,6,20,14,31.5,6,21,14,0.5170920549671202,9,4,0.574468085106383,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K052,Enge,K531,Pärnu linn,NA,NA,NA,K531,3,5,3,3,43,43.7,43,45,7,16,9,256,1,2,3,0,1,1,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K054,Erra-Liiva,K213,Kiviõli linn,NA,NA,NA,K371,22,34,17,17,6,5.6,4,10,6,21,15,53.8,3,14,13,0.36735282343519987,5,4,0.5,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
K053,Erra alevik,K213,Kiviõli linn,NA,NA,NA,K213,17,20,17,17,5,4.6,3,9,6,21,15,53.8,3,14,13,0.36735282343519987,1,1,0.85,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K055,Ervita,K663,Tallinn,NA,NA,NA,K221,5,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
K056,Esku,K521,Põltsamaa linn,NA,NA,NA,K521,15,20,15,15,9,8.8,5,13,6,19,13,55.4,3,12,11,0.4944132324730442,6,4,0.75,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
K057,Essu,K545,Rakvere linn,NA,NA,NA,K545,14,27,14,14,11,11,10,13,6,21,15,67.2,3,11,13,0.25753937681885647,4,4,0.5185185185185185,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
